topic,akorda.kz,khabar.kz,nur.kz,sputnik.kz,tengrinews.kz,zakon.kz
amnesty,0,0.2,0.082,0.03,0.004,0.029
turmoil,0.011,0.23,0.48,0.48,1,0.86
citizen,0.44,0.57,0.25,0.14,0.19,0.47
trust,0.073,0.092,0.0087,0.012,0.02,0.015
complaint,0.013,0.02,0.017,0.007,0.014,0.058
victim,0.013,0.051,0.1,0.0047,0.067,0.08
deputy,0.0022,0.041,0.0043,0.042,0.032,0.21
initiative,0.089,0.087,0.026,0.0023,0.00051,0.015
interest,0.12,0.11,0.048,0.014,0.016,0.022
rally,0.011,0.066,0.043,0.17,0.3,0.19
opinion,0.054,0.061,0.056,0.012,0.016,0.058
population,0.082,0.11,0.095,0.028,0.055,0.08
violence,0.011,0.036,0.017,0.03,0.018,0.088
potential,0.084,0.082,0.0043,0.0023,0.012,0
problem,0.24,0.24,0.069,0.021,0.051,0.0073
protest,0.011,0.11,0.13,0.026,0.11,0.13
investigation,0.013,0.092,0.16,0.07,0.12,0.33
freedom,0.035,0.041,0.065,0.054,0.024,0.11
crowd,0,0.046,0.0087,0.07,0.16,0.1
disaster,0.015,0.11,0.069,0.051,0.047,0.029
requiremetn,0.06,0.092,0.039,0.058,0.053,0.11
participant,0.056,0.14,0.11,0.013,0.16,0.23
efficiency,0.076,0.077,0.013,0.0047,0.018,0
Prosecutor General's Office,0.0043,0.026,0.043,0.063,0.028,0.066
Prosecutor General,0,0.015,0.0043,0.021,0.012,0.073
akim,0.026,0.12,0.082,0.072,0.043,0.058
akimat,0.013,0.1,0.052,0.02,0.26,0.15
authority,0.093,0.22,0.16,0.17,0.11,0.15
election,0.091,0.1,0.013,0,0.022,0
government,0.43,0.77,0.58,0.086,0.24,0.18
deputy,0.086,0.14,0.13,0.023,0.026,0.088
law,0.14,0.22,0.23,0.077,0.051,0.088
code,0.019,0.066,0.022,0.0093,0.055,0.0073
majilis,0.048,0.097,0.14,0.061,0.036,0.15
nation,0.28,0.35,0.14,0.026,0.063,0.058
oblast,0.1,0.26,0.26,0.22,0.31,0.34
body,0.16,0.32,0.26,0.16,0.17,0.45
parliament,0.097,0.14,0.017,0.04,0.012,0.088
party,0.18,0.097,0.022,0.019,0.016,0.015
political,0.2,0.34,0.078,0.0093,0.032,0.044
president,0.099,0.61,0.84,0.35,0.36,0.3
prosecutor's office,0.013,0.077,0.061,0.035,0.087,0.21
region,0.22,0.31,0.19,0.16,0.2,0.27
self government,0.0043,0.066,0,0,0,0
army,0.0065,0.066,0.022,0.016,0.0061,0
military personnel,0.0065,0.031,0.061,0.075,0.093,0.044
military,0.015,0.077,0.035,0.12,0.079,0.088
takeover,0.011,0.092,0.043,0.035,0.097,0.11
commandant,0,0.026,0.022,0.012,0.002,0.051
commandant's office,0,0.026,0.0087,0.051,0.032,0.0073
weapon,0.019,0.14,0.14,0.12,0.19,0.0073
destruction,0.0022,0.0051,0.017,0.007,0.053,0.36
injury,0.0043,0.015,0,0.021,0.053,0.015
silovik,0.0043,0.041,0.026,0.077,0.028,0.015
soldier,0.0086,0.051,0.0043,0.016,0.045,0.13
article,0.011,0.051,0.056,0.0093,0.093,0.051
terrorist attack,0.0022,0.01,0.0087,0.014,0.0081,0.015
terrorism,0.011,0.031,0.035,0.033,0.04,0.3
terrorist,0.024,0.17,0.17,0.13,0.14,0.49
arrest,0,0.01,0.022,0.007,0.04,0.1
thug,0.017,0.12,0.1,0.056,0.1,0.16
combatant,0.022,0.087,0.039,0.07,0.095,0.11
ammunition,0,0.046,0.022,0.026,0.024,0.073
debt,0.048,0.056,0,0.007,0.02,0
detention,0,0.036,0.022,0.019,0.036,0.058
property,0.0086,0.041,0.03,0.035,0.043,0.14
violation,0.017,0.051,0.048,0.023,0.016,0.08
danger,0.0086,0.015,0.0087,0.0023,0.014,0.11
security,0.011,0.066,0.03,0.061,0.04,0.029
crime,0.013,0.082,0.078,0.065,0.11,0.13
criminal,0.0022,0.066,0.039,0.058,0.047,0.073
penal,0.017,0.097,0.087,0.12,0.11,0.31
threat,0.052,0.097,0.056,0.035,0.04,0.058
order,0.035,0.061,0.082,0.04,0.016,0.022
business,0.13,0.074,0.042,0.037,0.12,0.12
budget,0.073,0.067,0.024,0.0047,0.028,0.015
gas,0.043,0.13,0.14,0.26,0.19,0.08
competition,0.052,0.074,0.0094,0.0047,0.0081,0
ministry,0.0065,0.087,0.1,0.047,0.051,0.08
entrepeneur,0.056,0.013,0.0047,0.042,0.036,0.11
entrepeneurship,0.013,0.0067,0.0047,0.0093,0.016,0.058
enterprise,0.019,0.02,0.0047,0.007,0.085,0.015
reform,0.19,0.17,0.066,0.0093,0.045,0.029
subject,0.0043,0.02,0.033,0.0047,0.024,0.12
